zip,type,city,state,county,country,irs_estimated_population
00784,STANDARD,Guayama,PR,Guayama Municipio,US,0
00785,PO BOX,Guayama,PR,,US,0
00786,PO BOX,La Plata,PR,Aibonito Municipio,US,0
00791,STANDARD,Humacao,PR,Humacao Municipio,US,0
00792,PO BOX,Humacao,PR,,US,0
00794,STANDARD,Barranquitas,PR,Barranquitas Municipio,US,0
00795,STANDARD,Juana Diaz,PR,Juana Diaz Municipio,US,0
00801,PO BOX,St Thomas,VI,,US,0
00802,STANDARD,St Thomas,VI,,US,0
00803,PO BOX,St Thomas,VI,,US,0
00804,PO BOX,St Thomas,VI,,US,0
00805,PO BOX,St Thomas,VI,,US,0
00820,STANDARD,Christiansted,VI,,US,0
00821,PO BOX,Christiansted,VI,,US,0
00822,PO BOX,Christiansted,VI,,US,0
00823,PO BOX,Christiansted,VI,,US,0
00824,PO BOX,Christiansted,VI,,US,0
00830,STANDARD,St John,VI,,US,0
00831,PO BOX,St John,VI,,US,0
00840,STANDARD,Frederiksted,VI,,US,0
00841,PO BOX,Frederiksted,VI,,US,0
00850,STANDARD,Kingshill,VI,,US,0
00851,PO BOX,Kingshill,VI,,US,0
00901,STANDARD,San Juan,PR,San Juan Municipio,US,0
00902,PO BOX,San Juan,PR,,US,0
00906,PO BOX,San Juan,PR,San Juan Municipio,US,0
00907,STANDARD,San Juan,PR,San Juan Municipio,US,0
00908,PO BOX,San Juan,PR,,US,0
00909,STANDARD,San Juan,PR,San Juan Municipio,US,0
00910,PO BOX,San Juan,PR,,US,0
00911,STANDARD,San Juan,PR,San Juan Municipio,US,0
00912,STANDARD,San Juan,PR,San Juan Municipio,US,0
00913,STANDARD,San Juan,PR,San Juan Municipio,US,0
00914,PO BOX,San Juan,PR,,US,0
00915,STANDARD,San Juan,PR,San Juan Municipio,US,0
00916,PO BOX,San Juan,PR,,US,0
00917,STANDARD,San Juan,PR,San Juan Municipio,US,0
00918,STANDARD,San Juan,PR,San Juan Municipio,US,0
00919,PO BOX,San Juan,PR,,US,0
00920,STANDARD,San Juan,PR,San Juan Municipio,US,0
00921,STANDARD,San Juan,PR,San Juan Municipio,US,0
00922,PO BOX,San Juan,PR,,US,0
00923,STANDARD,San Juan,PR,San Juan Municipio,US,0
00924,STANDARD,San Juan,PR,San Juan Municipio,US,0
00925,STANDARD,San Juan,PR,San Juan Municipio,US,0
00926,STANDARD,San Juan,PR,San Juan Municipio,US,0
00927,STANDARD,San Juan,PR,San Juan Municipio,US,0
00928,PO BOX,San Juan,PR,,US,0
00929,PO BOX,San Juan,PR,San Juan,US,0
00930,PO BOX,San Juan,PR,,US,0
00931,PO BOX,San Juan,PR,San Juan,US,0
00933,PO BOX,San Juan,PR,San Juan,US,0
00934,STANDARD,Fort Buchanan,PR,Guaynabo Municipio,US,0
00935,UNIQUE,San Juan,PR,San Juan,US,0
00936,PO BOX,San Juan,PR,San Juan Municipio,US,0
00937,PO BOX,San Juan,PR,San Juan,US,0
00939,UNIQUE,San Juan,PR,San Juan,US,0
00940,PO BOX,San Juan,PR,,US,0
00949,STANDARD,Toa Baja,PR,Toa Baja Municipio,US,0
00950,PO BOX,Toa Baja,PR,Dorado Municipio,US,0
00951,PO BOX,Toa Baja,PR,Toa Baja Municipio,US,0
00952,STANDARD,Sabana Seca,PR,Toa Baja Municipio,US,0
00953,STANDARD,Toa Alta,PR,Toa Alta Municipio,US,0
00954,PO BOX,Toa Alta,PR,Toa Alta,US,0
00955,PO BOX,San Juan,PR,San Juan,US,0
00956,STANDARD,Bayamon,PR,Bayamon Municipio,US,0
00957,STANDARD,Bayamon,PR,Bayamon Municipio,US,0
00958,PO BOX,Bayamon,PR,Bayamon,US,0
00959,STANDARD,Bayamon,PR,Bayamon Municipio,US,0
00960,PO BOX,Bayamon,PR,Bayamon Municipio,US,0
00961,STANDARD,Bayamon,PR,Bayamon Municipio,US,0
00962,STANDARD,Catano,PR,Catano Municipio,US,0
00963,PO BOX,Catano,PR,Catano,US,0
00965,STANDARD,Guaynabo,PR,Guaynabo Municipio,US,0
00966,STANDARD,Guaynabo,PR,Guaynabo Municipio,US,0
00968,STANDARD,Guaynabo,PR,Guaynabo Municipio,US,0
00969,STANDARD,Guaynabo,PR,Guaynabo Municipio,US,0
00970,PO BOX,Guaynabo,PR,,US,0
00971,STANDARD,Guaynabo,PR,Guaynabo Municipio,US,0
00975,UNIQUE,San Juan,PR,San Juan,US,0
00976,STANDARD,Trujillo Alto,PR,Trujillo Alto Municipio,US,0
00977,PO BOX,Trujillo Alto,PR,,US,0
00978,PO BOX,Saint Just,PR,San Juan,US,0
00979,STANDARD,Carolina,PR,Carolina Municipio,US,0
00981,PO BOX,Carolina,PR,Carolina,US,0
00982,STANDARD,Carolina,PR,Carolina Municipio,US,0
00983,STANDARD,Carolina,PR,Carolina Municipio,US,0
00984,PO BOX,Carolina,PR,Carolina,US,0
00985,STANDARD,Carolina,PR,Carolina Municipio,US,0
00986,PO BOX,Carolina,PR,Carolina,US,0
00987,STANDARD,Carolina,PR,Carolina Municipio,US,0
00988,PO BOX,Carolina,PR,Carolina,US,0
01001,STANDARD,Agawam,MA,Hampden County,US,15410
01002,STANDARD,Amherst,MA,Hampshire County,US,16620
01003,STANDARD,Amherst,MA,Hampshire County,US,184
01004,PO BOX,Amherst,MA,Hampshire County,US,794
01005,STANDARD,Barre,MA,Worcester County,US,4520
01007,STANDARD,Belchertown,MA,Hampshire County,US,14560
01008,STANDARD,Blandford,MA,Hampden County,US,1160
01009,PO BOX,Bondsville,MA,Hampden County,US,1238
01010,STANDARD,Brimfield,MA,Hampden County,US,3580
01011,STANDARD,Chester,MA,Hampden County,US,1060
01012,STANDARD,Chesterfield,MA,Hampshire County,US,660
01013,STANDARD,Chicopee,MA,Hampden County,US,19090
01014,PO BOX,Chicopee,MA,Hampden County,US,354
01020,STANDARD,Chicopee,MA,Hampden County,US,25820
01021,PO BOX,Chicopee,MA,Hampden County,US,566
01022,STANDARD,Chicopee,MA,Hampden County,US,1680
01026,STANDARD,Cummington,MA,Hampshire County,US,850
01027,STANDARD,Easthampton,MA,Hampshire County,US,16170
01028,STANDARD,East Longmeadow,MA,Hampden County,US,15660
01029,PO BOX,East Otis,MA,Berkshire County,US,557
01030,STANDARD,Feeding Hills,MA,Hampden County,US,10840
01031,STANDARD,Gilbertville,MA,Worcester County,US,1020
01032,STANDARD,Goshen,MA,Hampshire County,US,450
01033,STANDARD,Granby,MA,Hampshire County,US,5850
01034,STANDARD,Granville,MA,Hampden County,US,1790
01035,STANDARD,Hadley,MA,Hampshire County,US,4730
01036,STANDARD,Hampden,MA,Hampden County,US,4890
01037,PO BOX,Hardwick,MA,Worcester County,US,779
01038,STANDARD,Hatfield,MA,Hampshire County,US,2240
01039,STANDARD,Haydenville,MA,Hampshire County,US,1310
01040,STANDARD,Holyoke,MA,Hampden County,US,29470
01041,PO BOX,Holyoke,MA,Hampden County,US,1408
01050,STANDARD,Huntington,MA,Hampshire County,US,2310
01053,STANDARD,Leeds,MA,Hampshire County,US,1520
01054,STANDARD,Leverett,MA,Franklin County,US,1750
01056,STANDARD,Ludlow,MA,Hampden County,US,18350
01057,STANDARD,Monson,MA,Hampden County,US,7550
01059,PO BOX,North Amherst,MA,Hampshire County,US,70
01060,STANDARD,Northampton,MA,Hampshire County,US,11180
01061,PO BOX,Northampton,MA,Hampshire County,US,469
01062,STANDARD,Florence,MA,Hampshire County,US,10010
01063,UNIQUE,Northampton,MA,Hampshire County,US,177
01066,PO BOX,North Hatfield,MA,Hampshire County,US,402
01068,STANDARD,Oakham,MA,Worcester County,US,1890
01069,STANDARD,Palmer,MA,Hampden County,US,7130
01070,STANDARD,Plainfield,MA,Hampshire County,US,540
01071,STANDARD,Russell,MA,Hampden County,US,1400
01072,STANDARD,Shutesbury,MA,Franklin County,US,1430
01073,STANDARD,Southampton,MA,Hampshire County,US,6120
01074,PO BOX,South Barre,MA,Worcester County,US,655
01075,STANDARD,South Hadley,MA,Hampshire County,US,14760
01077,STANDARD,Southwick,MA,Hampden County,US,8810
01079,PO BOX,Thorndike,MA,Hampden County,US,992
01080,STANDARD,Three Rivers,MA,Hampden County,US,2070
01081,STANDARD,Wales,MA,Hampden County,US,1570
01082,STANDARD,Ware,MA,Hampshire County,US,9300
01083,PO BOX,Warren,MA,Worcester County,US,3037
01084,STANDARD,West Chesterfield,MA,Hampshire County,US,137
01085,STANDARD,Westfield,MA,Hampden County,US,34340
01086,PO BOX,Westfield,MA,Hampden County,US,886
01088,STANDARD,West Hatfield,MA,Hampshire County,US,520
01089,STANDARD,West Springfield,MA,Hampden County,US,25450
01090,PO BOX,West Springfield,MA,Hampden County,US,510
01092,PO BOX,West Warren,MA,Worcester County,US,1332
01093,PO BOX,Whately,MA,Franklin County,US,516
01094,PO BOX,Wheelwright,MA,Worcester County,US,340
01095,STANDARD,Wilbraham,MA,Hampden County,US,14320
01096,STANDARD,Williamsburg,MA,Hampshire County,US,2330
01097,PO BOX,Woronoco,MA,Hampden County,US,88
01098,STANDARD,Worthington,MA,Hampshire County,US,1110
01101,PO BOX,Springfield,MA,Hampden County,US,2038
01102,PO BOX,Springfield,MA,Hampden County,US,0
01103,STANDARD,Springfield,MA,Hampden County,US,1620
01104,STANDARD,Springfield,MA,Hampden County,US,20040
01105,STANDARD,Springfield,MA,Hampden County,US,7910
01106,STANDARD,Longmeadow,MA,Hampden County,US,15430
01107,STANDARD,Springfield,MA,Hampden County,US,8220
01108,STANDARD,Springfield,MA,Hampden County,US,22810
01109,STANDARD,Springfield,MA,Hampden County,US,22950
01111,UNIQUE,Springfield,MA,Hampden County,US,0
01115,PO BOX,Springfield,MA,Hampden County,US,25
01116,PO BOX,Longmeadow,MA,Hampden County,US,82
01118,STANDARD,Springfield,MA,Hampden County,US,13350
01119,STANDARD,Springfield,MA,Hampden County,US,11120
01128,STANDARD,Springfield,MA,Hampden County,US,2570
01129,STANDARD,Springfield,MA,Hampden County,US,6560
01133,UNIQUE,Springfield,MA,Hampden County,US,0
01138,PO BOX,Springfield,MA,Hampden County,US,688
01139,PO BOX,Springfield,MA,Hampden County,US,467
01144,STANDARD,Springfield,MA,Hampden County,US,0
01151,STANDARD,Indian Orchard,MA,Hampden County,US,7610
01152,STANDARD,Springfield,MA,Hampden County,US,0
01195,STANDARD,Springfield,MA,Hampden County,US,0
01199,UNIQUE,Springfield,MA,Hampden County,US,0
01201,STANDARD,Pittsfield,MA,Berkshire County,US,37770
01202,PO BOX,Pittsfield,MA,Berkshire County,US,1387
01203,PO BOX,Pittsfield,MA,Berkshire County,US,0
01220,STANDARD,Adams,MA,Berkshire County,US,7130
01222,STANDARD,Ashley Falls,MA,Berkshire County,US,710
01223,STANDARD,Becket,MA,Berkshire County,US,2150
01224,STANDARD,Berkshire,MA,Berkshire County,US,160
01225,STANDARD,Cheshire,MA,Berkshire County,US,2900
01226,STANDARD,Dalton,MA,Berkshire County,US,5780
01227,PO BOX,Dalton,MA,Berkshire County,US,262
01229,PO BOX,Glendale,MA,Berkshire County,US,163
01230,STANDARD,Great Barrington,MA,Berkshire County,US,6310
01235,STANDARD,Hinsdale,MA,Berkshire County,US,2600
01236,STANDARD,Housatonic,MA,Berkshire County,US,1500
01237,STANDARD,Lanesborough,MA,Berkshire County,US,2750
01238,STANDARD,Lee,MA,Berkshire County,US,5050
01240,STANDARD,Lenox,MA,Berkshire County,US,4020
01242,PO BOX,Lenox Dale,MA,Berkshire County,US,559
01243,PO BOX,Middlefield,MA,Hampshire County,US,315
01244,PO BOX,Mill River,MA,Berkshire County,US,328
01245,STANDARD,Monterey,MA,Berkshire County,US,730
01247,STANDARD,North Adams,MA,Berkshire County,US,11360
01252,STANDARD,North Egremont,MA,Berkshire County,US,281
01253,STANDARD,Otis,MA,Berkshire County,US,780
01254,STANDARD,Richmond,MA,Berkshire County,US,1030
01255,STANDARD,Sandisfield,MA,Berkshire County,US,660
01256,STANDARD,Savoy,MA,Berkshire County,US,600
01257,STANDARD,Sheffield,MA,Berkshire County,US,2090
01258,PO BOX,South Egremont,MA,Berkshire County,US,620
01259,STANDARD,Southfield,MA,Berkshire County,US,460
01260,PO BOX,South Lee,MA,Berkshire County,US,254
01262,PO BOX,Stockbridge,MA,Berkshire County,US,1342
01263,UNIQUE,Stockbridge,MA,Berkshire County,US,0
01264,PO BOX,Tyringham,MA,Berkshire County,US,198
01266,STANDARD,West Stockbridge,MA,Berkshire County,US,1290
01267,STANDARD,Williamstown,MA,Berkshire County,US,5250
01270,STANDARD,Windsor,MA,Berkshire County,US,720
01301,STANDARD,Greenfield,MA,Franklin County,US,14370
01302,PO BOX,Greenfield,MA,Franklin County,US,502
01330,STANDARD,Ashfield,MA,Franklin County,US,1320
01331,STANDARD,Athol,MA,Worcester County,US,11930
01337,STANDARD,Bernardston,MA,Franklin County,US,2470
01338,STANDARD,Buckland,MA,Franklin County,US,220
01339,STANDARD,Charlemont,MA,Franklin County,US,1250
01340,STANDARD,Colrain,MA,Franklin County,US,1540
01341,STANDARD,Conway,MA,Franklin County,US,1530
01342,STANDARD,Deerfield,MA,Franklin County,US,1260
01343,STANDARD,Drury,MA,Berkshire County,US,153
01344,STANDARD,Erving,MA,Franklin County,US,1460
01346,STANDARD,Heath,MA,Franklin County,US,330
01347,PO BOX,Lake Pleasant,MA,Franklin County,US,165
01349,STANDARD,Millers Falls,MA,Franklin County,US,710
01350,PO BOX,Monroe Bridge,MA,Franklin County,US,35
01351,STANDARD,Montague,MA,Franklin County,US,2130
01354,STANDARD,Gill,MA,Franklin County,US,1420
01355,STANDARD,New Salem,MA,Franklin County,US,870
01360,STANDARD,Northfield,MA,Franklin County,US,2780
01364,STANDARD,Orange,MA,Franklin County,US,6460
01366,STANDARD,Petersham,MA,Worcester County,US,1150
01367,STANDARD,Rowe,MA,Franklin County,US,480
01368,STANDARD,Royalston,MA,Worcester County,US,1150
01370,STANDARD,Shelburne Falls,MA,Franklin County,US,3530
01373,STANDARD,South Deerfield,MA,Franklin County,US,4070
01375,STANDARD,Sunderland,MA,Franklin County,US,2900
01376,STANDARD,Turners Falls,MA,Franklin County,US,4380
01378,STANDARD,Warwick,MA,Franklin County,US,680
01379,STANDARD,Wendell,MA,Franklin County,US,740
01380,STANDARD,Wendell Depot,MA,Franklin County,US,81
01420,STANDARD,Fitchburg,MA,Worcester County,US,35190
01430,STANDARD,Ashburnham,MA,Worcester County,US,6050
01431,STANDARD,Ashby,MA,Middlesex County,US,3040
01432,STANDARD,Ayer,MA,Middlesex County,US,7500
01434,STANDARD,Devens,MA,Worcester County,US,510
01436,STANDARD,Baldwinville,MA,Worcester County,US,2710
01438,PO BOX,East Templeton,MA,Worcester County,US,704
01440,STANDARD,Gardner,MA,Worcester County,US,17300
01441,UNIQUE,Westminster,MA,Worcester County,US,0
01450,STANDARD,Groton,MA,Middlesex County,US,10940
01451,STANDARD,Harvard,MA,Worcester County,US,5420
01452,STANDARD,Hubbardston,MA,Worcester County,US,4230
01453,STANDARD,Leominster,MA,Worcester County,US,39260
01460,STANDARD,Littleton,MA,Middlesex County,US,9970
01462,STANDARD,Lunenburg,MA,Worcester County,US,11310
01463,STANDARD,Pepperell,MA,Middlesex County,US,11120
01464,STANDARD,Shirley,MA,Middlesex County,US,5950
01467,PO BOX,Still River,MA,Worcester County,US,318
01468,STANDARD,Templeton,MA,Worcester County,US,4430
01469,STANDARD,Townsend,MA,Middlesex County,US,6790
01470,UNIQUE,Groton,MA,Middlesex County,US,0
01471,UNIQUE,Groton,MA,Middlesex County,US,0
01472,PO BOX,West Groton,MA,Middlesex County,US,352
01473,STANDARD,Westminster,MA,Worcester County,US,8150
01474,STANDARD,West Townsend,MA,Middlesex County,US,1880
01475,STANDARD,Winchendon,MA,Worcester County,US,9060
01477,PO BOX,Winchendon Springs,MA,Worcester County,US,214
01501,STANDARD,Auburn,MA,Worcester County,US,15850
01503,STANDARD,Berlin,MA,Worcester County,US,3320
01504,STANDARD,Blackstone,MA,Worcester County,US,8750
01505,STANDARD,Boylston,MA,Worcester County,US,4950
01506,STANDARD,Brookfield,MA,Worcester County,US,3010
01507,STANDARD,Charlton,MA,Worcester County,US,12590
01508,PO BOX,Charlton City,MA,Worcester County,US,958
01509,PO BOX,Charlton Depot,MA,Worcester County,US,52
01510,STANDARD,Clinton,MA,Worcester County,US,13570
01515,STANDARD,East Brookfield,MA,Worcester County,US,2170
01516,STANDARD,Douglas,MA,Worcester County,US,8730
01517,PO BOX,East Princeton,MA,Worcester County,US,0
01518,STANDARD,Fiskdale,MA,Worcester County,US,3110
01519,STANDARD,Grafton,MA,Worcester County,US,7230
01520,STANDARD,Holden,MA,Worcester County,US,15990
01521,STANDARD,Holland,MA,Hampden County,US,2320
01522,STANDARD,Jefferson,MA,Worcester County,US,3410
01523,STANDARD,Lancaster,MA,Worcester County,US,6260
01524,STANDARD,Leicester,MA,Worcester County,US,6140
01525,PO BOX,Linwood,MA,Worcester County,US,1058
01526,PO BOX,Manchaug,MA,Worcester County,US,534
01527,STANDARD,Millbury,MA,Worcester County,US,12860
01529,STANDARD,Millville,MA,Worcester County,US,2950
01531,STANDARD,New Braintree,MA,Worcester County,US,920
01532,STANDARD,Northborough,MA,Worcester County,US,15410
01534,STANDARD,Northbridge,MA,Worcester County,US,5890
01535,STANDARD,North Brookfield,MA,Worcester County,US,4370
01536,STANDARD,North Grafton,MA,Worcester County,US,7050
01537,STANDARD,North Oxford,MA,Worcester County,US,2100
01538,PO BOX,North Uxbridge,MA,Worcester County,US,584
01540,STANDARD,Oxford,MA,Worcester County,US,10220
01541,STANDARD,Princeton,MA,Worcester County,US,3560
01542,STANDARD,Rochdale,MA,Worcester County,US,2140
01543,STANDARD,Rutland,MA,Worcester County,US,9120
01545,STANDARD,Shrewsbury,MA,Worcester County,US,36390
01546,UNIQUE,Shrewsbury,MA,Worcester County,US,0
01550,STANDARD,Southbridge,MA,Worcester County,US,15240
01560,STANDARD,South Grafton,MA,Worcester County,US,4500
01561,PO BOX,South Lancaster,MA,Worcester County,US,1100
01562,STANDARD,Spencer,MA,Worcester County,US,10600
01564,STANDARD,Sterling,MA,Worcester County,US,7800
01566,STANDARD,Sturbridge,MA,Worcester County,US,6610
01568,STANDARD,Upton,MA,Worcester County,US,7920
01569,STANDARD,Uxbridge,MA,Worcester County,US,13420
01570,STANDARD,Webster,MA,Worcester County,US,15780
01571,STANDARD,Dudley,MA,Worcester County,US,10500
01580,UNIQUE,Westborough,MA,Worcester County,US,0
01581,STANDARD,Westborough,MA,Worcester County,US,20150
01582,UNIQUE,Westborough,MA,Worcester County,US,0
01583,STANDARD,West Boylston,MA,Worcester County,US,6780
01585,STANDARD,West Brookfield,MA,Worcester County,US,3960
01586,PO BOX,West Millbury,MA,Worcester County,US,0
01588,STANDARD,Whitinsville,MA,Worcester County,US,9220
01590,STANDARD,Sutton,MA,Worcester County,US,9030
01601,PO BOX,Worcester,MA,Worcester County,US,322
01602,STANDARD,Worcester,MA,Worcester County,US,20440
01603,STANDARD,Worcester,MA,Worcester County,US,17630
01604,STANDARD,Worcester,MA,Worcester County,US,31650
01605,STANDARD,Worcester,MA,Worcester County,US,22330
01606,STANDARD,Worcester,MA,Worcester County,US,18480
01607,STANDARD,Worcester,MA,Worcester County,US,7640
01608,STANDARD,Worcester,MA,Worcester County,US,3530
01609,STANDARD,Worcester,MA,Worcester County,US,12910
01610,STANDARD,Worcester,MA,Worcester County,US,16900
01611,STANDARD,Cherry Valley,MA,Worcester County,US,2110
01612,STANDARD,Paxton,MA,Worcester County,US,4560
01613,PO BOX,Worcester,MA,Worcester County,US,1369
01614,PO BOX,Worcester,MA,Worcester County,US,68
01615,PO BOX,Worcester,MA,Worcester County,US,13
01653,UNIQUE,Worcester,MA,Worcester County,US,0
01654,UNIQUE,Worcester,MA,Worcester County,US,0
01655,STANDARD,Worcester,MA,Worcester County,US,0
01701,STANDARD,Framingham,MA,Middlesex County,US,30790
01702,STANDARD,Framingham,MA,Middlesex County,US,29090
01703,PO BOX,Framingham,MA,Middlesex County,US,160
01704,PO BOX,Framingham,MA,Middlesex County,US,385
01705,PO BOX,Framingham,MA,Middlesex County,US,71
01718,STANDARD,Acton,MA,Middlesex County,US,650
01719,STANDARD,Boxborough,MA,Middlesex County,US,5260
01720,STANDARD,Acton,MA,Middlesex County,US,22680
01721,STANDARD,Ashland,MA,Middlesex County,US,17920
01730,STANDARD,Bedford,MA,Middlesex County,US,13920
01731,STANDARD,Hanscom AFB,MA,Middlesex County,US,2270
01740,STANDARD,Bolton,MA,Worcester County,US,5800
01741,STANDARD,Carlisle,MA,Middlesex County,US,5250
01742,STANDARD,Concord,MA,Middlesex County,US,17740
01745,STANDARD,Fayville,MA,Worcester County,US,410
01746,STANDARD,Holliston,MA,Middlesex County,US,14710
01747,STANDARD,Hopedale,MA,Worcester County,US,5720
01748,STANDARD,Hopkinton,MA,Middlesex County,US,18920
01749,STANDARD,Hudson,MA,Middlesex County,US,18490
01752,STANDARD,Marlborough,MA,Middlesex County,US,36490
01754,STANDARD,Maynard,MA,Middlesex County,US,10140
01756,STANDARD,Mendon,MA,Worcester County,US,6210
01757,STANDARD,Milford,MA,Worcester County,US,26690
01760,STANDARD,Natick,MA,Middlesex County,US,34450
01770,STANDARD,Sherborn,MA,Middlesex County,US,4450
01772,STANDARD,Southborough,MA,Worcester County,US,10150
01773,STANDARD,Lincoln,MA,Middlesex County,US,5360
01775,STANDARD,Stow,MA,Middlesex County,US,7140
